origin,destination,year,students
Bosnia and Herzegovina,Saudi Arabia,2019,113
Bosnia and Herzegovina,Saudi Arabia,2020,109
Bosnia and Herzegovina,Saudi Arabia,2021,66
Denmark,United States of America,2017,933.67346
Denmark,United States of America,2018,868.01373
Denmark,United States of America,2020,743.05541
Denmark,United States of America,2021,642.07206
Croatia,Bulgaria,2017,4
Croatia,Bulgaria,2018,6
Croatia,Bulgaria,2019,5
Croatia,Bulgaria,2020,4
Croatia,Bulgaria,2021,12
Denmark,Ireland,2017,19
Denmark,Ireland,2018,23
Denmark,Ireland,2019,26
Denmark,Ireland,2020,29
Denmark,Ireland,2021,21
Estonia,Bosnia and Herzegovina,2018,1
Austria,South Korea,2017,15
Austria,South Korea,2018,12
Austria,South Korea,2019,14
Austria,South Korea,2020,12
Austria,South Korea,2021,14
Estonia,South Africa,2020,1
Iceland,Australia,2017,20
Iceland,Australia,2018,22
Iceland,Australia,2019,11
Iceland,Australia,2020,10
Iceland,Australia,2021,9
Bosnia and Herzegovina,France,2017,98
Bosnia and Herzegovina,France,2018,72
Bosnia and Herzegovina,France,2019,68
Bosnia and Herzegovina,France,2020,81
Bosnia and Herzegovina,France,2021,62
Belgium,Switzerland,2017,422
Belgium,Switzerland,2018,461
Belgium,Switzerland,2019,488
Belgium,Switzerland,2020,534
Belgium,Switzerland,2021,570
Germany,Andorra,2017,1
Germany,Andorra,2018,1
Germany,Andorra,2019,1
Germany,Andorra,2020,2
Iceland,Norway,2017,140
Iceland,Norway,2018,156
Iceland,Norway,2019,89
Iceland,Norway,2020,122
Iceland,Norway,2021,100
Denmark,North Macedonia,2017,1
Denmark,North Macedonia,2018,2
Denmark,North Macedonia,2019,1
Denmark,North Macedonia,2020,2
Estonia,Slovenia,2019,1
Estonia,Slovenia,2020,1
Estonia,Slovenia,2021,2
Finland,Canada,2017,84
Finland,Canada,2018,87.92669
Finland,Canada,2019,99
Finland,Canada,2020,108
Finland,Canada,2021,66
Belgium,Finland,2017,53
Belgium,Finland,2018,52
Belgium,Finland,2019,61
Belgium,Finland,2020,69
Belgium,Finland,2021,84
Germany,Japan,2017,786
Germany,Japan,2018,779
Germany,Japan,2019,829
Germany,Japan,2020,846
Germany,Japan,2021,557
Finland,Bahrain,2017,1
Finland,Bahrain,2018,1
Finland,Bahrain,2019,1
Finland,Bahrain,2021,1
Belgium,Belarus,2020,1
Belgium,Belarus,2021,1
Bosnia and Herzegovina,Türkiye,2017,477
Bosnia and Herzegovina,Türkiye,2018,475
Bosnia and Herzegovina,Türkiye,2019,430
Bosnia and Herzegovina,Türkiye,2020,385
Bosnia and Herzegovina,Türkiye,2021,331
Albania,Austria,2017,363.5
Albania,Austria,2018,401.9
Albania,Austria,2019,430.24533
Albania,Austria,2020,471.412
Albania,Austria,2021,476.912
Belarus,Romania,2017,3
Belarus,Romania,2018,3
Belarus,Romania,2019,5
Belarus,Romania,2020,2
Belarus,Romania,2021,1
Iceland,Grenada,2017,1
Belgium,Estonia,2017,6
Belgium,Estonia,2018,2
Belgium,Estonia,2019,4
Belgium,Estonia,2020,7
Belgium,Estonia,2021,5
Hungary,Liechtenstein,2017,1
Hungary,Liechtenstein,2018,1
Hungary,Liechtenstein,2019,1
Hungary,Liechtenstein,2020,3
Hungary,Liechtenstein,2021,2
Finland,Slovakia,2017,8
Finland,Slovakia,2018,7
Finland,Slovakia,2019,5
Finland,Slovakia,2020,9
Finland,Slovakia,2021,9
Croatia,Argentina,2017,2
Croatia,Argentina,2018,1
Croatia,Argentina,2019,2
Croatia,Argentina,2020,2
Croatia,Argentina,2021,2
Greece,Latvia,2017,3
Greece,Latvia,2018,9
Greece,Latvia,2019,10
Greece,Latvia,2020,8
Greece,Latvia,2021,9
France,Saudi Arabia,2017,437
France,Saudi Arabia,2018,410
France,Saudi Arabia,2019,239
France,Saudi Arabia,2020,283
France,Saudi Arabia,2021,288
Finland,Vietnam,2017,1
Finland,Vietnam,2019,1
Finland,Vietnam,2021,1
Finland,Dominican Republic,2021,1
Estonia,New Zealand,2017,2
Estonia,New Zealand,2018,4
Estonia,New Zealand,2019,5
Estonia,New Zealand,2020,5
Estonia,New Zealand,2021,4
Finland,Russia,2017,69
Finland,Russia,2018,60
Finland,Russia,2019,85
Finland,Russia,2020,104
Finland,Russia,2021,66
France,Spain,2017,7052
France,Spain,2018,8220
France,Spain,2019,9086
France,Spain,2020,9794
France,Spain,2021,10336
Belarus,Luxembourg,2017,5
Belarus,Luxembourg,2018,6
Belarus,Luxembourg,2019,4
Belarus,Luxembourg,2020,5
Belarus,Luxembourg,2021,5
Bosnia and Herzegovina,Liechtenstein,2017,4
Bosnia and Herzegovina,Liechtenstein,2018,4
Bosnia and Herzegovina,Liechtenstein,2019,2
Denmark,Greece,2017,9
Denmark,Greece,2018,5
Denmark,Greece,2019,5
Denmark,Greece,2020,4
Denmark,Greece,2021,5
Hungary,South Africa,2017,6
Hungary,South Africa,2018,6
Hungary,South Africa,2019,2
Hungary,South Africa,2020,2
Hungary,South Africa,2021,3
Albania,Spain,2017,40
Albania,Spain,2018,47
Albania,Spain,2019,44
Albania,Spain,2020,47
Albania,Spain,2021,52
Belgium,Macao,2017,7
Belgium,Macao,2018,6
Belgium,Macao,2019,7
Belgium,Macao,2020,7
Germany,Namibia,2017,7
Germany,Namibia,2018,7
Germany,Namibia,2019,10
Germany,Namibia,2020,8
Greece,Denmark,2017,694
Greece,Denmark,2018,711
Greece,Denmark,2019,722
Greece,Denmark,2020,699
Greece,Denmark,2021,699
Bosnia and Herzegovina,Hungary,2017,20
Bosnia and Herzegovina,Hungary,2018,27
Bosnia and Herzegovina,Hungary,2019,42
Bosnia and Herzegovina,Hungary,2020,51
Bosnia and Herzegovina,Hungary,2021,50
Denmark,Estonia,2017,6
Denmark,Estonia,2018,4
Denmark,Estonia,2019,6
Denmark,Estonia,2020,7
Denmark,Estonia,2021,6
Germany,Botswana,2017,3
Germany,Botswana,2019,3
Czechia,Belgium,2017,44
Czechia,Belgium,2018,25
Czechia,Belgium,2019,32
Czechia,Belgium,2020,46
Czechia,Belgium,2021,50
Belgium,Canada,2017,393
Belgium,Canada,2018,417.41314
Belgium,Canada,2019,462
Belgium,Canada,2020,576
Belgium,Canada,2021,456
Germany,Iceland,2017,110
Germany,Iceland,2018,112
Germany,Iceland,2019,119
Germany,Iceland,2020,117
Germany,Iceland,2021,141
Germany,Morocco,2017,20
Germany,Morocco,2018,16
Germany,Morocco,2019,22
Germany,Morocco,2020,29
Germany,Morocco,2021,17
Albania,Republic of Moldova,2017,3
Albania,Republic of Moldova,2018,2
Austria,Netherlands,2017,572
Austria,Netherlands,2018,680
Austria,Netherlands,2019,711
Denmark,Mozambique,2017,2
Denmark,Mozambique,2018,3
Hungary,Slovenia,2017,9
Hungary,Slovenia,2018,10
Hungary,Slovenia,2019,13
Hungary,Slovenia,2020,18
Hungary,Slovenia,2021,18
Czechia,Chile,2017,1
Czechia,Chile,2018,1
Czechia,Chile,2019,2
Czechia,Chile,2020,2
Czechia,Chile,2021,3
Croatia,Ecuador,2020,2
Croatia,Malta,2017,1
Croatia,Malta,2018,1
Croatia,Malta,2019,4
Croatia,Malta,2020,8
Croatia,Malta,2021,30
Belgium,Slovakia,2017,8
Belgium,Slovakia,2018,3
Belgium,Slovakia,2019,3
Belgium,Slovakia,2020,3
Belgium,Slovakia,2021,4
Estonia,Armenia,2017,1
Estonia,Armenia,2018,1
Estonia,Armenia,2019,1
Estonia,Croatia,2017,1
Estonia,Croatia,2018,5
Estonia,Croatia,2019,6
Estonia,Croatia,2021,1
Greece,Sweden,2017,674
Greece,Sweden,2018,721
Greece,Sweden,2019,721.95254
Greece,Sweden,2020,708.48064
Greece,Sweden,2021,705.54466
Germany,Qatar,2017,9
Germany,Qatar,2018,9
Germany,Qatar,2019,13
Germany,Qatar,2020,8
Germany,Qatar,2021,12
Albania,Czechia,2017,55
Albania,Czechia,2018,57
Albania,Czechia,2019,56
Albania,Czechia,2020,60
Albania,Czechia,2021,59
Belgium,Vietnam,2017,2
Belgium,Vietnam,2019,1
Belgium,Vietnam,2020,1
Andorra,Morocco,2017,1
Andorra,Morocco,2018,1
Andorra,Morocco,2020,2
Andorra,Morocco,2021,2
Austria,Tunisia,2017,1
Austria,Tunisia,2020,1
Belarus,New Zealand,2017,9
Belarus,New Zealand,2018,8
Belarus,New Zealand,2019,6
Belarus,New Zealand,2020,3
Belarus,New Zealand,2021,3
Estonia,Luxembourg,2017,2
Estonia,Luxembourg,2018,5
Estonia,Luxembourg,2019,5
Estonia,Luxembourg,2020,6
Estonia,Luxembourg,2021,7
France,Türkiye,2017,204
France,Türkiye,2018,233
France,Türkiye,2019,356
France,Türkiye,2020,377
France,Türkiye,2021,395
Germany,India,2017,40
Germany,India,2018,29
Germany,India,2019,31
Germany,India,2020,38
Germany,India,2021,25
Greece,Belgium,2017,287
Greece,Belgium,2018,214
Greece,Belgium,2019,326
Greece,Belgium,2020,369
Greece,Belgium,2021,372
Iceland,Russia,2017,2
Iceland,Russia,2018,2
Iceland,Russia,2019,1
Iceland,Russia,2021,1
Czechia,Denmark,2017,696
Czechia,Denmark,2018,734
Czechia,Denmark,2019,689
Czechia,Denmark,2020,645
Czechia,Denmark,2021,613
Belgium,Thailand,2020,12
Albania,Türkiye,2017,989
Albania,Türkiye,2018,1084
Albania,Türkiye,2019,1148
Albania,Türkiye,2020,1149
Albania,Türkiye,2021,1065
Estonia,Georgia,2017,1
Estonia,Georgia,2018,4
Estonia,Georgia,2019,4
Estonia,Georgia,2020,3
Estonia,Georgia,2021,2
Bosnia and Herzegovina,Italy,2017,341
Bosnia and Herzegovina,Italy,2018,311
Bosnia and Herzegovina,Italy,2019,92
Bosnia and Herzegovina,Italy,2020,116
Bosnia and Herzegovina,Italy,2021,108
Bulgaria,Botswana,2019,1
Bulgaria,Botswana,2020,1
Greece,Armenia,2017,12
Greece,Armenia,2018,6
Greece,Armenia,2019,9
Greece,Armenia,2020,9
Greece,Armenia,2021,6
Finland,Macao,2017,5
Finland,Macao,2018,6
Finland,Macao,2019,5
Finland,Macao,2020,3
Finland,Macao,2021,1
France,Liechtenstein,2017,3
France,Liechtenstein,2018,4
France,Liechtenstein,2019,3
France,Liechtenstein,2020,3
France,Liechtenstein,2021,2
Czechia,Latvia,2017,2
Czechia,Latvia,2018,5
Czechia,Latvia,2019,3
Czechia,Latvia,2020,9
Czechia,Latvia,2021,10
France,Hungary,2017,577
France,Hungary,2018,646
France,Hungary,2019,660
France,Hungary,2020,689
France,Hungary,2021,522
Germany,Bhutan,2021,1
Bulgaria,Qatar,2017,9
Bulgaria,Qatar,2018,2
Bulgaria,Qatar,2019,2
Bulgaria,Qatar,2020,5
Bulgaria,Qatar,2021,5
Greece,Portugal,2017,47
Greece,Portugal,2018,45
Greece,Portugal,2019,37
Greece,Portugal,2020,47
Greece,Portugal,2021,41
Belarus,Armenia,2017,4
Belarus,Armenia,2018,5
Belarus,Armenia,2019,5
Belarus,Armenia,2020,5
Belarus,Armenia,2021,3
Hungary,Croatia,2017,24
Hungary,Croatia,2018,25
Hungary,Croatia,2019,30
Hungary,Croatia,2020,17
Hungary,Croatia,2021,19
Croatia,Spain,2017,62
Croatia,Spain,2018,64
Croatia,Spain,2019,50
Croatia,Spain,2020,56
Croatia,Spain,2021,50
Austria,Serbia,2017,14
Austria,Serbia,2018,19
Austria,Serbia,2019,23
Austria,Serbia,2020,18
Austria,Serbia,2021,9
Bulgaria,Albania,2018,5
Bulgaria,Albania,2019,1
Bulgaria,Albania,2020,1
Bulgaria,Albania,2021,1
Estonia,Kazakhstan,2017,1
Estonia,Kazakhstan,2020,6
France,Colombia,2017,181
France,Colombia,2018,249
France,Colombia,2019,238
France,Colombia,2020,219
France,Colombia,2021,72
Germany,Lithuania,2017,213
Germany,Lithuania,2018,275
Germany,Lithuania,2019,356
Germany,Lithuania,2020,412
Germany,Lithuania,2021,495
Andorra,United Kingdom,2017,14
Andorra,United Kingdom,2018,11
Andorra,United Kingdom,2019,9
Andorra,United Kingdom,2020,12
Andorra,United Kingdom,2021,18
Czechia,Sweden,2017,85
Czechia,Sweden,2018,88
Czechia,Sweden,2019,85.39359
Czechia,Sweden,2020,80.87917
Czechia,Sweden,2021,88.08872
Finland,Ghana,2018,1
Finland,Ghana,2019,1
Bulgaria,Ukraine,2017,151
Bulgaria,Ukraine,2018,181
Bulgaria,Ukraine,2019,221
Bulgaria,Ukraine,2020,244
Bulgaria,Ukraine,2021,337
Hungary,Italy,2017,254
Hungary,Italy,2018,259
Hungary,Italy,2019,154
Hungary,Italy,2020,173
Hungary,Italy,2021,178
Denmark,Canada,2017,114
Denmark,Canada,2018,124.16626
Denmark,Canada,2019,141
Denmark,Canada,2020,117
Denmark,Canada,2021,57
Denmark,Switzerland,2017,87
Denmark,Switzerland,2018,80
Denmark,Switzerland,2019,86
Denmark,Switzerland,2020,100
Denmark,Switzerland,2021,91
Finland,Morocco,2017,34
Finland,Morocco,2018,45
Finland,Morocco,2019,44
Finland,Morocco,2020,47
Finland,Morocco,2021,52
Greece,Slovenia,2017,5
Greece,Slovenia,2018,6
Greece,Slovenia,2019,6
Greece,Slovenia,2020,11
Greece,Slovenia,2021,21
Estonia,Hong Kong,2017,2
Estonia,Hong Kong,2018,3
Estonia,Hong Kong,2019,3
Estonia,Hong Kong,2020,3
Estonia,Hong Kong,2021,3
Austria,Oman,2021,2
Albania,Malta,2017,2
Albania,Malta,2018,6
Albania,Malta,2019,3
Albania,Malta,2020,2
Albania,Malta,2021,7
Albania,Netherlands,2017,181
Albania,Netherlands,2018,213
Albania,Netherlands,2019,206
Denmark,Grenada,2017,1
Iceland,Lithuania,2017,2
Iceland,Lithuania,2018,2
Iceland,Lithuania,2019,4
Iceland,Lithuania,2020,3
Iceland,Lithuania,2021,8
Austria,Belarus,2017,2
Austria,Belarus,2018,2
Austria,Belarus,2019,1
France,Malta,2017,26
France,Malta,2018,26
France,Malta,2019,22
France,Malta,2020,35
France,Malta,2021,104
Greece,Croatia,2017,16
Greece,Croatia,2018,17
Greece,Croatia,2019,23
Greece,Croatia,2020,14
Greece,Croatia,2021,14
Germany,Sweden,2017,1889
Germany,Sweden,2018,1959
Germany,Sweden,2019,1963.76813
Germany,Sweden,2020,2040.14712
Germany,Sweden,2021,2211.15465
France,Saint Lucia,2017,1
France,Saint Lucia,2018,1
Bosnia and Herzegovina,Czechia,2017,91
Bosnia and Herzegovina,Czechia,2018,90
Bosnia and Herzegovina,Czechia,2019,99
Bosnia and Herzegovina,Czechia,2020,98
Bosnia and Herzegovina,Czechia,2021,96
Finland,Ukraine,2017,35
Finland,Ukraine,2018,40
Finland,Ukraine,2019,55
Finland,Ukraine,2020,43
Finland,Ukraine,2021,41
Belarus,Slovenia,2017,7
Belarus,Slovenia,2018,9
Belarus,Slovenia,2019,8
Belarus,Slovenia,2020,8
Belarus,Slovenia,2021,9
Belarus,Bosnia and Herzegovina,2017,1
Belarus,Bosnia and Herzegovina,2018,2
Belarus,Bosnia and Herzegovina,2019,1
Austria,Estonia,2017,8
Austria,Estonia,2018,8
Austria,Estonia,2019,8
Austria,Estonia,2020,11
Austria,Estonia,2021,11
Belarus,Hungary,2017,23
Belarus,Hungary,2018,31
Belarus,Hungary,2019,27
Belarus,Hungary,2020,28
Belarus,Hungary,2021,17
Andorra,Sweden,2020,1
Andorra,Sweden,2021,1
France,Azerbaijan,2019,1
France,Azerbaijan,2020,1
France,Azerbaijan,2021,2
Croatia,Brazil,2017,7
Croatia,Brazil,2018,6
Croatia,Brazil,2019,5
Croatia,Brazil,2020,4
Croatia,Brazil,2021,2
Hungary,Czechia,2017,53
Hungary,Czechia,2018,53
Hungary,Czechia,2019,64
Hungary,Czechia,2020,80
Hungary,Czechia,2021,86
Hungary,Saudi Arabia,2017,2
Hungary,Saudi Arabia,2018,2
Hungary,Saudi Arabia,2019,1
Hungary,Saudi Arabia,2020,1
Denmark,Dominican Republic,2021,1
Iceland,India,2017,3
Iceland,India,2018,401
Iceland,India,2020,1
Iceland,India,2021,1
Bulgaria,Lithuania,2017,1
Bulgaria,Lithuania,2018,3
Bulgaria,Lithuania,2019,2
Bulgaria,Lithuania,2020,2
Bulgaria,Lithuania,2021,2
Greece,New Zealand,2017,11
Greece,New Zealand,2018,7
Greece,New Zealand,2019,8
Greece,New Zealand,2020,6
Greece,New Zealand,2021,5
Hungary,Spain,2017,109
Hungary,Spain,2018,109
Hungary,Spain,2019,102
Hungary,Spain,2020,159
Hungary,Spain,2021,135
Czechia,Luxembourg,2017,13
Czechia,Luxembourg,2018,17
Czechia,Luxembourg,2019,12
Czechia,Luxembourg,2020,17
Czechia,Luxembourg,2021,12
Estonia,Liechtenstein,2018,1
Estonia,Liechtenstein,2019,1
Germany,Denmark,2017,3570
Germany,Denmark,2018,3578
Germany,Denmark,2019,3518
Germany,Denmark,2020,3334
Germany,Denmark,2021,3385
Albania,Côte d'Ivoire,2017,3
Albania,Côte d'Ivoire,2019,1
Bosnia and Herzegovina,Spain,2017,22
Bosnia and Herzegovina,Spain,2018,22
Bosnia and Herzegovina,Spain,2019,23
Bosnia and Herzegovina,Spain,2020,24
Bosnia and Herzegovina,Spain,2021,19
Iceland,Namibia,2017,1
Iceland,Namibia,2018,1
Greece,Bosnia and Herzegovina,2017,4
Greece,Bosnia and Herzegovina,2018,3
Greece,Bosnia and Herzegovina,2019,5
Greece,Bosnia and Herzegovina,2020,5
Greece,Bosnia and Herzegovina,2021,4
Greece,South Africa,2017,15
Greece,South Africa,2018,15
Greece,South Africa,2019,13
Greece,South Africa,2020,9
Greece,South Africa,2021,14
Albania,Indonesia,2017,3
Albania,Indonesia,2018,2
Austria,Panama,2019,1
Germany,Portugal,2017,327
Germany,Portugal,2018,517
Germany,Portugal,2019,722
Germany,Portugal,2020,730
Germany,Portugal,2021,1069
Belgium,Japan,2017,87
Belgium,Japan,2018,85
Belgium,Japan,2019,74
Belgium,Japan,2020,115
Belgium,Japan,2021,55
Bulgaria,Sweden,2017,158
Bulgaria,Sweden,2018,139
Bulgaria,Sweden,2019,125.88561
Bulgaria,Sweden,2020,125.85389
Bulgaria,Sweden,2021,122.52483
Denmark,Oman,2018,1
Denmark,Oman,2019,1
Denmark,Oman,2020,1
Denmark,Oman,2021,1
Finland,Qatar,2017,1
Finland,Qatar,2018,1
Finland,Qatar,2019,1
Iceland,Morocco,2017,1
Iceland,Morocco,2018,27
Iceland,Morocco,2019,29
Iceland,Morocco,2020,37
Iceland,Morocco,2021,46
Belgium,Russia,2017,21
Belgium,Russia,2018,29
Belgium,Russia,2019,47
Belgium,Russia,2020,21
Belgium,Russia,2021,26
Denmark,Kenya,2019,2
Iceland,Germany,2017,95
Iceland,Germany,2018,231
Iceland,Germany,2019,122
Iceland,Germany,2020,130
Iceland,Germany,2021,126
Albania,Malaysia,2017,2
Albania,Malaysia,2019,7
Albania,Malaysia,2020,7
Albania,Malaysia,2021,4
Denmark,Australia,2017,125
Denmark,Australia,2018,155
Denmark,Australia,2019,152
Denmark,Australia,2020,134
Denmark,Australia,2021,93
Austria,Canada,2017,147
Austria,Canada,2018,156.3521
Austria,Canada,2019,141
Austria,Canada,2020,135
Austria,Canada,2021,90
Germany,San Marino,2021,1
Finland,Namibia,2017,1
Finland,Namibia,2018,1
Finland,Iceland,2017,28
Finland,Iceland,2018,23
Finland,Iceland,2019,25
Finland,Iceland,2020,32
Finland,Iceland,2021,26
Finland,Lithuania,2017,19
Finland,Lithuania,2018,28
Finland,Lithuania,2019,45
Finland,Lithuania,2020,47
Finland,Lithuania,2021,73
Belgium,Ukraine,2017,4
Belgium,Ukraine,2018,4
Belgium,Ukraine,2019,4
Belgium,Ukraine,2020,3
Belgium,Ukraine,2021,4
Czechia,Kazakhstan,2018,1
Czechia,Kazakhstan,2019,2
Czechia,Kazakhstan,2020,1
Austria,El Salvador,2018,1
Austria,El Salvador,2019,2
Austria,El Salvador,2020,2
Finland,Costa Rica,2017,1
Finland,Costa Rica,2020,2
Albania,Serbia,2017,33
Albania,Serbia,2018,34
Albania,Serbia,2019,25
Albania,Serbia,2020,23
Albania,Serbia,2021,21
Germany,Monaco,2020,8
Germany,Monaco,2021,10
Denmark,Vietnam,2020,1
Denmark,Vietnam,2021,1
Hungary,France,2017,519
Hungary,France,2018,375
Hungary,France,2019,334
Hungary,France,2020,320
Hungary,France,2021,333
Andorra,Belgium,2018,1
Andorra,Belgium,2019,2
Andorra,Belgium,2020,1
Andorra,Belgium,2021,1
Austria,Bahrain,2018,1
Austria,Bahrain,2019,1
Austria,Bahrain,2020,1
Bulgaria,Morocco,2019,1
Bulgaria,Morocco,2020,2
Bulgaria,Morocco,2021,1
Belarus,Italy,2017,502
Belarus,Italy,2018,511
Belarus,Italy,2019,200
Belarus,Italy,2020,231
Belarus,Italy,2021,370
Czechia,New Zealand,2017,22.88889
Czechia,New Zealand,2018,23
Czechia,New Zealand,2019,29
Czechia,New Zealand,2020,22
Czechia,New Zealand,2021,11
Hungary,Türkiye,2017,27
Hungary,Türkiye,2018,28
Hungary,Türkiye,2019,37
Hungary,Türkiye,2020,36
Hungary,Türkiye,2021,29
Iceland,Chile,2017,1
Belgium,Cuba,2019,2
Belgium,Cuba,2020,2
Belgium,Cuba,2021,2
Greece,Luxembourg,2017,75
Greece,Luxembourg,2018,83
Greece,Luxembourg,2019,83
Greece,Luxembourg,2020,77
Greece,Luxembourg,2021,72
Belarus,Croatia,2017,5
Belarus,Croatia,2018,2
Belarus,Croatia,2019,2
Belarus,Croatia,2020,4
Belarus,Croatia,2021,2
Iceland,United Kingdom,2017,224
Iceland,United Kingdom,2018,229
Iceland,United Kingdom,2019,272
Iceland,United Kingdom,2020,271
Iceland,United Kingdom,2021,276
Bulgaria,Denmark,2017,1196
Bulgaria,Denmark,2018,982
Bulgaria,Denmark,2019,818
Bulgaria,Denmark,2020,705
Bulgaria,Denmark,2021,600
Denmark,Macao,2017,2
Denmark,Macao,2018,3
Denmark,Macao,2019,1
Denmark,Macao,2020,2
Greece,Georgia,2017,13
Greece,Georgia,2018,11
Greece,Georgia,2019,10
Greece,Georgia,2020,9
Greece,Georgia,2021,11
Bulgaria,Chile,2017,1
Bulgaria,Chile,2018,2
Bulgaria,Chile,2019,1
Bulgaria,Chile,2020,2
Bulgaria,Chile,2021,2
