source,destination,time,students
"Nigeria","Benin",2017,5830
"Nigeria","Benin",2018,2959
"Nigeria","Benin",2019,1122
"Nigeria","Benin",2020,1076
"Nigeria","Benin",2021,994
"Nigeria","Bermuda",2017,..
"Nigeria","Bermuda",2018,..
"Nigeria","Bermuda",2019,..
"Nigeria","Bermuda",2020,..
"Nigeria","Bermuda",2021,..
"Nigeria","Bhutan",2017,..
"Nigeria","Bhutan",2018,..
"Nigeria","Bhutan",2019,..
"Nigeria","Bhutan",2020,..
"Nigeria","Bhutan",2021,..
"Nigeria","Bolivia (Plurinational State of)",2017,..
"Nigeria","Bolivia (Plurinational State of)",2018,..
"Nigeria","Bolivia (Plurinational State of)",2019,..
"Nigeria","Bolivia (Plurinational State of)",2020,..
"Nigeria","Bolivia (Plurinational State of)",2021,..
"Nigeria","Bosnia and Herzegovina",2017,..
"Nigeria","Bosnia and Herzegovina",2018,..
"Nigeria","Bosnia and Herzegovina",2019,..
"Nigeria","Bosnia and Herzegovina",2020,1
"Nigeria","Bosnia and Herzegovina",2021,..
"Nigeria","Botswana",2017,4
"Nigeria","Botswana",2018,..
"Nigeria","Botswana",2019,1
"Nigeria","Botswana",2020,7
"Nigeria","Botswana",2021,5
"Nigeria","Brazil",2017,58
"Nigeria","Brazil",2018,68
"Nigeria","Brazil",2019,74
"Nigeria","Brazil",2020,125
"Nigeria","Brazil",2021,133
"Nigeria","British Virgin Islands",2017,..
"Nigeria","British Virgin Islands",2018,..
"Nigeria","British Virgin Islands",2019,..
"Nigeria","British Virgin Islands",2020,..
"Nigeria","British Virgin Islands",2021,..
"Nigeria","Brunei Darussalam",2017,7
"Nigeria","Brunei Darussalam",2018,7
"Nigeria","Brunei Darussalam",2019,6
"Nigeria","Brunei Darussalam",2020,7
"Nigeria","Brunei Darussalam",2021,..
"Nigeria","Bulgaria",2017,118
"Nigeria","Bulgaria",2018,154
"Nigeria","Bulgaria",2019,182
"Nigeria","Bulgaria",2020,251
"Nigeria","Bulgaria",2021,171
"Nigeria","Burkina Faso",2017,..
"Nigeria","Burkina Faso",2018,..
"Nigeria","Burkina Faso",2019,..
"Nigeria","Burkina Faso",2020,..
"Nigeria","Burkina Faso",2021,..
"Nigeria","Burundi",2017,183
"Nigeria","Burundi",2018,68
"Nigeria","Burundi",2019,..
"Nigeria","Burundi",2020,..
"Nigeria","Burundi",2021,..
"Nigeria","Cambodia",2017,..
"Nigeria","Cambodia",2018,..
"Nigeria","Cambodia",2019,..
"Nigeria","Cambodia",2020,..
"Nigeria","Cambodia",2021,..
"Nigeria","Cameroon",2017,16
"Nigeria","Cameroon",2018,3
"Nigeria","Cameroon",2019,..
"Nigeria","Cameroon",2020,..
"Nigeria","Cameroon",2021,..
"Nigeria","Canada",2017,6621
"Nigeria","Canada",2018,7082.29791
"Nigeria","Canada",2019,6708
"Nigeria","Canada",2020,7542
"Nigeria","Canada",2021,8337
"Nigeria","Cabo Verde",2017,..
"Nigeria","Cabo Verde",2018,..
"Nigeria","Cabo Verde",2019,..
"Nigeria","Cabo Verde",2020,..
"Nigeria","Cabo Verde",2021,..
"Nigeria","Cayman Islands",2017,..
"Nigeria","Cayman Islands",2018,..
"Nigeria","Cayman Islands",2019,..
"Nigeria","Cayman Islands",2020,..
"Nigeria","Cayman Islands",2021,..
"Nigeria","Central African Republic",2017,..
"Nigeria","Central African Republic",2018,..
"Nigeria","Central African Republic",2019,..
"Nigeria","Central African Republic",2020,..
"Nigeria","Central African Republic",2021,..
"Nigeria","Chad",2017,..
"Nigeria","Chad",2018,..
"Nigeria","Chad",2019,..
"Nigeria","Chad",2020,..
"Nigeria","Chad",2021,..
"Nigeria","Channel Islands",2017,..
"Nigeria","Channel Islands",2018,..
"Nigeria","Channel Islands",2019,..
"Nigeria","Channel Islands",2020,..
"Nigeria","Channel Islands",2021,..
"Nigeria","Chile",2017,..
"Nigeria","Chile",2018,1
"Nigeria","Chile",2019,..
"Nigeria","Chile",2020,5
"Nigeria","Chile",2021,4
"Nigeria","China",2017,..
"Nigeria","China",2018,..
"Nigeria","China",2019,..
"Nigeria","China",2020,..
"Nigeria","China",2021,..
"Nigeria","China, Hong Kong",2017,38
"Nigeria","China, Hong Kong",2018,50.011
"Nigeria","China, Hong Kong",2019,63
"Nigeria","China, Hong Kong",2020,67
"Nigeria","China, Hong Kong",2021,71
"Nigeria","China, Macao",2017,2
"Nigeria","China, Macao",2018,2
"Nigeria","China, Macao",2019,3
"Nigeria","China, Macao",2020,4
"Nigeria","China, Macao",2021,2
"Nigeria","Colombia",2017,3
"Nigeria","Colombia",2018,..
"Nigeria","Colombia",2019,..
"Nigeria","Colombia",2020,..
"Nigeria","Colombia",2021,1
"Nigeria","Comoros",2017,..
"Nigeria","Comoros",2018,..
"Nigeria","Comoros",2019,..
"Nigeria","Comoros",2020,..
"Nigeria","Comoros",2021,..
"Nigeria","Congo",2017,..
"Nigeria","Congo",2018,..
"Nigeria","Congo",2019,..
"Nigeria","Congo",2020,..
"Nigeria","Congo",2021,..
"Nigeria","Cook Islands",2017,..
"Nigeria","Cook Islands",2018,..
"Nigeria","Cook Islands",2019,..
"Nigeria","Cook Islands",2020,..
"Nigeria","Cook Islands",2021,..
"Nigeria","Costa Rica",2017,5
"Nigeria","Costa Rica",2018,..
"Nigeria","Costa Rica",2019,1
"Nigeria","Costa Rica",2020,..
"Nigeria","Costa Rica",2021,..
"Nigeria","Côte d'Ivoire",2017,313
"Nigeria","Côte d'Ivoire",2018,..
"Nigeria","Côte d'Ivoire",2019,222
"Nigeria","Côte d'Ivoire",2020,253
"Nigeria","Côte d'Ivoire",2021,..
"Nigeria","Croatia",2017,2
"Nigeria","Croatia",2018,5
"Nigeria","Croatia",2019,1
"Nigeria","Croatia",2020,2
"Nigeria","Croatia",2021,3
"Nigeria","Cuba",2017,11
"Nigeria","Cuba",2018,8
"Nigeria","Cuba",2019,15
"Nigeria","Cuba",2020,12
"Nigeria","Cuba",2021,10
"Nigeria","Curaçao",2017,..
"Nigeria","Curaçao",2018,..
"Nigeria","Curaçao",2019,..
"Nigeria","Curaçao",2020,..
"Nigeria","Curaçao",2021,..
"Nigeria","Cyprus",2017,212
"Nigeria","Cyprus",2018,202
"Nigeria","Cyprus",2019,269
"Nigeria","Cyprus",2020,377
"Nigeria","Cyprus",2021,358
"Nigeria","Czechia",2017,106
"Nigeria","Czechia",2018,114
"Nigeria","Czechia",2019,114
"Nigeria","Czechia",2020,116
"Nigeria","Czechia",2021,174
"Nigeria","Democratic People's South Korea",2017,..
"Nigeria","Democratic People's South Korea",2018,..
"Nigeria","Democratic People's South Korea",2019,..
"Nigeria","Democratic People's South Korea",2020,..
"Nigeria","Democratic People's South Korea",2021,..
"Nigeria","Democratic Republic of the Congo",2017,..
"Nigeria","Democratic Republic of the Congo",2018,..
"Nigeria","Democratic Republic of the Congo",2019,..
"Nigeria","Democratic Republic of the Congo",2020,17
"Nigeria","Democratic Republic of the Congo",2021,..
"Nigeria","Denmark",2017,55
"Nigeria","Denmark",2018,38
"Nigeria","Denmark",2019,38
"Nigeria","Denmark",2020,6
"Nigeria","Denmark",2021,34
"Nigeria","Djibouti",2017,..
"Nigeria","Djibouti",2018,..
"Nigeria","Djibouti",2019,..
"Nigeria","Djibouti",2020,..
"Nigeria","Djibouti",2021,..
"Nigeria","Dominica",2017,..
"Nigeria","Dominica",2018,..
"Nigeria","Dominica",2019,..
"Nigeria","Dominica",2020,..
"Nigeria","Dominica",2021,..
"Nigeria","Dominican Republic",2017,4
"Nigeria","Dominican Republic",2018,..
"Nigeria","Dominican Republic",2019,..
"Nigeria","Dominican Republic",2020,4
"Nigeria","Dominican Republic",2021,5
"Nigeria","Ecuador",2017,..
"Nigeria","Ecuador",2018,..
"Nigeria","Ecuador",2019,..
"Nigeria","Ecuador",2020,..
"Nigeria","Ecuador",2021,..
"Nigeria","Egypt",2017,..
"Nigeria","Egypt",2018,..
"Nigeria","Egypt",2019,..
"Nigeria","Egypt",2020,1344
"Nigeria","Egypt",2021,..
"Nigeria","El Salvador",2017,..
"Nigeria","El Salvador",2018,..
"Nigeria","El Salvador",2019,..
"Nigeria","El Salvador",2020,..
"Nigeria","El Salvador",2021,..
"Nigeria","Equatorial Guinea",2017,..
"Nigeria","Equatorial Guinea",2018,..
"Nigeria","Equatorial Guinea",2019,..
"Nigeria","Equatorial Guinea",2020,..
"Nigeria","Equatorial Guinea",2021,..
"Nigeria","Eritrea",2017,..
"Nigeria","Eritrea",2018,..
"Nigeria","Eritrea",2019,..
"Nigeria","Eritrea",2020,..
"Nigeria","Eritrea",2021,..
"Nigeria","Estonia",2017,247
"Nigeria","Estonia",2018,287
"Nigeria","Estonia",2019,275
"Nigeria","Estonia",2020,355
"Nigeria","Estonia",2021,343
"Nigeria","Eswatini",2017,..
"Nigeria","Eswatini",2018,..
"Nigeria","Eswatini",2019,..
"Nigeria","Eswatini",2020,..
"Nigeria","Eswatini",2021,..
"Nigeria","Ethiopia",2017,..
"Nigeria","Ethiopia",2018,..
"Nigeria","Ethiopia",2019,..
"Nigeria","Ethiopia",2020,..
"Nigeria","Ethiopia",2021,..
"Nigeria","Faeroe Islands",2017,..
"Nigeria","Faeroe Islands",2018,..
"Nigeria","Faeroe Islands",2019,..
"Nigeria","Faeroe Islands",2020,..
"Nigeria","Faeroe Islands",2021,..
"Nigeria","Falkland Islands (Malvinas)",2017,..
"Nigeria","Falkland Islands (Malvinas)",2018,..
"Nigeria","Falkland Islands (Malvinas)",2019,..
"Nigeria","Falkland Islands (Malvinas)",2020,..
"Nigeria","Falkland Islands (Malvinas)",2021,..
"Nigeria","Fiji",2017,..
"Nigeria","Fiji",2018,..
"Nigeria","Fiji",2019,..
"Nigeria","Fiji",2020,..
"Nigeria","Fiji",2021,..
"Nigeria","Finland",2017,533
"Nigeria","Finland",2018,476
"Nigeria","Finland",2019,451
"Nigeria","Finland",2020,385
"Nigeria","Finland",2021,561
"Nigeria","France",2017,370
"Nigeria","France",2018,356
"Nigeria","France",2019,459
"Nigeria","France",2020,556
"Nigeria","France",2021,577
"Nigeria","French Guiana",2017,..
"Nigeria","French Guiana",2018,..
"Nigeria","French Guiana",2019,..
"Nigeria","French Guiana",2020,..
"Nigeria","French Guiana",2021,..
"Nigeria","French Polynesia",2017,..
"Nigeria","French Polynesia",2018,..
"Nigeria","French Polynesia",2019,..
"Nigeria","French Polynesia",2020,..
"Nigeria","French Polynesia",2021,..
"Nigeria","Gabon",2017,..
"Nigeria","Gabon",2018,..
"Nigeria","Gabon",2019,..
"Nigeria","Gabon",2020,..
"Nigeria","Gabon",2021,..
"Nigeria","Gambia",2017,..
"Nigeria","Gambia",2018,..
"Nigeria","Gambia",2019,..
"Nigeria","Gambia",2020,..
"Nigeria","Gambia",2021,..
"Nigeria","Georgia",2017,343
"Nigeria","Georgia",2018,337
"Nigeria","Georgia",2019,367
"Nigeria","Georgia",2020,595
"Nigeria","Georgia",2021,656
"Nigeria","Germany",2017,1266
"Nigeria","Germany",2018,1593
"Nigeria","Germany",2019,2290
"Nigeria","Germany",2020,3506
"Nigeria","Germany",2021,4350
"Nigeria","Ghana",2017,9127
"Nigeria","Ghana",2018,6506
"Nigeria","Ghana",2019,3959
"Nigeria","Ghana",2020,2960
"Nigeria","Ghana",2021,2652
"Nigeria","Gibraltar",2017,..
"Nigeria","Gibraltar",2018,..
"Nigeria","Gibraltar",2019,..
"Nigeria","Gibraltar",2020,..
"Nigeria","Gibraltar",2021,..
"Nigeria","Greece",2017,153
"Nigeria","Greece",2018,138
"Nigeria","Greece",2019,134
"Nigeria","Greece",2020,123
"Nigeria","Greece",2021,..
"Nigeria","Greenland",2017,..
"Nigeria","Greenland",2018,..
"Nigeria","Greenland",2019,..
"Nigeria","Greenland",2020,..
"Nigeria","Greenland",2021,..
"Nigeria","Grenada",2017,107
"Nigeria","Grenada",2018,116
"Nigeria","Grenada",2019,..
"Nigeria","Grenada",2020,..
"Nigeria","Grenada",2021,..
"Nigeria","Guadeloupe",2017,..
"Nigeria","Guadeloupe",2018,..
"Nigeria","Guadeloupe",2019,..
"Nigeria","Guadeloupe",2020,..
"Nigeria","Guadeloupe",2021,..
"Nigeria","Guam",2017,..
"Nigeria","Guam",2018,..
"Nigeria","Guam",2019,..
"Nigeria","Guam",2020,..
"Nigeria","Guam",2021,..
"Nigeria","Guatemala",2017,..
"Nigeria","Guatemala",2018,..
"Nigeria","Guatemala",2019,..
"Nigeria","Guatemala",2020,..
"Nigeria","Guatemala",2021,..
"Nigeria","Guernsey",2017,..
"Nigeria","Guernsey",2018,..
"Nigeria","Guernsey",2019,..
"Nigeria","Guernsey",2020,..
"Nigeria","Guernsey",2021,..
"Nigeria","Guinea",2017,..
"Nigeria","Guinea",2018,..
"Nigeria","Guinea",2019,..
"Nigeria","Guinea",2020,..
"Nigeria","Guinea",2021,..
"Nigeria","Guinea-Bissau",2017,..
"Nigeria","Guinea-Bissau",2018,..
"Nigeria","Guinea-Bissau",2019,..
"Nigeria","Guinea-Bissau",2020,..
"Nigeria","Guinea-Bissau",2021,..
"Nigeria","Guyana",2017,..
"Nigeria","Guyana",2018,..
"Nigeria","Guyana",2019,..
"Nigeria","Guyana",2020,..
"Nigeria","Guyana",2021,..
"Nigeria","Haiti",2017,..
"Nigeria","Haiti",2018,..
"Nigeria","Haiti",2019,..
"Nigeria","Haiti",2020,..
"Nigeria","Haiti",2021,..
"Nigeria","Holy See",2017,..
"Nigeria","Holy See",2018,..
"Nigeria","Holy See",2019,..
"Nigeria","Holy See",2020,..
"Nigeria","Holy See",2021,..
"Nigeria","Honduras",2017,..
"Nigeria","Honduras",2018,..
"Nigeria","Honduras",2019,..
"Nigeria","Honduras",2020,..
"Nigeria","Honduras",2021,..
"Nigeria","Hungary",2017,1031
"Nigeria","Hungary",2018,1005
"Nigeria","Hungary",2019,970
"Nigeria","Hungary",2020,896
"Nigeria","Hungary",2021,930
"Nigeria","Iceland",2017,2
"Nigeria","Iceland",2018,2
"Nigeria","Iceland",2019,5
"Nigeria","Iceland",2020,5
"Nigeria","Iceland",2021,1
"Nigeria","India",2017,2086
"Nigeria","India",2018,1866
"Nigeria","India",2019,1614
"Nigeria","India",2020,1525
"Nigeria","India",2021,1419
"Nigeria","Indonesia",2017,2
"Nigeria","Indonesia",2018,2
"Nigeria","Indonesia",2019,..
"Nigeria","Indonesia",2020,..
"Nigeria","Indonesia",2021,..
"Nigeria","Iran (Islamic Republic of)",2017,61
"Nigeria","Iran (Islamic Republic of)",2018,91
"Nigeria","Iran (Islamic Republic of)",2019,109
"Nigeria","Iran (Islamic Republic of)",2020,106
"Nigeria","Iran (Islamic Republic of)",2021,..
"Nigeria","Iraq",2017,..
"Nigeria","Iraq",2018,..
"Nigeria","Iraq",2019,..
"Nigeria","Iraq",2020,..
"Nigeria","Iraq",2021,..
"Nigeria","Ireland",2017,288
"Nigeria","Ireland",2018,353
"Nigeria","Ireland",2019,577
"Nigeria","Ireland",2020,605
"Nigeria","Ireland",2021,536
"Nigeria","Isle of Man",2017,..
"Nigeria","Isle of Man",2018,..
"Nigeria","Isle of Man",2019,..
"Nigeria","Isle of Man",2020,..
"Nigeria","Isle of Man",2021,..
"Nigeria","Israel",2017,..
"Nigeria","Israel",2018,..
"Nigeria","Israel",2019,..
"Nigeria","Israel",2020,..
"Nigeria","Israel",2021,..
"Nigeria","Italy",2017,528
"Nigeria","Italy",2018,649
"Nigeria","Italy",2019,220
"Nigeria","Italy",2020,269
"Nigeria","Italy",2021,488
"Nigeria","Jamaica",2017,..
"Nigeria","Jamaica",2018,..
"Nigeria","Jamaica",2019,..
"Nigeria","Jamaica",2020,..
"Nigeria","Jamaica",2021,..
"Nigeria","Japan",2017,117
"Nigeria","Japan",2018,152
"Nigeria","Japan",2019,160
"Nigeria","Japan",2020,152
"Nigeria","Japan",2021,160
"Nigeria","Jersey",2017,..
"Nigeria","Jersey",2018,..
"Nigeria","Jersey",2019,..
"Nigeria","Jersey",2020,..
"Nigeria","Jersey",2021,..
"Nigeria","Jordan",2017,180
"Nigeria","Jordan",2018,181
"Nigeria","Jordan",2019,201
"Nigeria","Jordan",2020,178
"Nigeria","Jordan",2021,155
"Nigeria","Kazakhstan",2017,8
"Nigeria","Kazakhstan",2018,3
"Nigeria","Kazakhstan",2019,8
"Nigeria","Kazakhstan",2020,21
"Nigeria","Kazakhstan",2021,..
"Nigeria","Kenya",2017,285
"Nigeria","Kenya",2018,..
"Nigeria","Kenya",2019,366
"Nigeria","Kenya",2020,..
"Nigeria","Kenya",2021,..
"Nigeria","Kiribati",2017,..
"Nigeria","Kiribati",2018,..
"Nigeria","Kiribati",2019,..
"Nigeria","Kiribati",2020,..
"Nigeria","Kiribati",2021,..
"Nigeria","Kuwait",2017,..
"Nigeria","Kuwait",2018,..
"Nigeria","Kuwait",2019,..
"Nigeria","Kuwait",2020,..
"Nigeria","Kuwait",2021,..
"Nigeria","Kyrgyzstan",2017,..
"Nigeria","Kyrgyzstan",2018,..
"Nigeria","Kyrgyzstan",2019,..
"Nigeria","Kyrgyzstan",2020,..
"Nigeria","Kyrgyzstan",2021,..
"Nigeria","Lao People's Democratic Republic",2017,..
"Nigeria","Lao People's Democratic Republic",2018,..
"Nigeria","Lao People's Democratic Republic",2019,..
"Nigeria","Lao People's Democratic Republic",2020,..
"Nigeria","Lao People's Democratic Republic",2021,..
"Nigeria","Latvia",2017,43
"Nigeria","Latvia",2018,28
"Nigeria","Latvia",2019,14
"Nigeria","Latvia",2020,14
"Nigeria","Latvia",2021,27
"Nigeria","Lebanon",2017,..
"Nigeria","Lebanon",2018,..
"Nigeria","Lebanon",2019,..
"Nigeria","Lebanon",2020,..
"Nigeria","Lebanon",2021,..
"Nigeria","Lesotho",2017,8
"Nigeria","Lesotho",2018,3
"Nigeria","Lesotho",2019,..
"Nigeria","Lesotho",2020,..
"Nigeria","Lesotho",2021,..
"Nigeria","Liberia",2017,..
"Nigeria","Liberia",2018,..
"Nigeria","Liberia",2019,..
"Nigeria","Liberia",2020,..
"Nigeria","Liberia",2021,..
"Nigeria","Libya",2017,..
"Nigeria","Libya",2018,..
"Nigeria","Libya",2019,..
"Nigeria","Libya",2020,..
"Nigeria","Libya",2021,..
"Nigeria","Liechtenstein",2017,4
"Nigeria","Liechtenstein",2018,2
"Nigeria","Liechtenstein",2019,1
"Nigeria","Liechtenstein",2020,..
"Nigeria","Liechtenstein",2021,..
"Nigeria","Lithuania",2017,168
"Nigeria","Lithuania",2018,130
"Nigeria","Lithuania",2019,145
"Nigeria","Lithuania",2020,160
"Nigeria","Lithuania",2021,280
"Nigeria","Luxembourg",2017,6
"Nigeria","Luxembourg",2018,8
"Nigeria","Luxembourg",2019,13
"Nigeria","Luxembourg",2020,16
"Nigeria","Luxembourg",2021,16
"Nigeria","Madagascar",2017,..
"Nigeria","Madagascar",2018,..
"Nigeria","Madagascar",2019,..
"Nigeria","Madagascar",2020,..
"Nigeria","Madagascar",2021,..
"Nigeria","Malawi",2017,..
"Nigeria","Malawi",2018,..
"Nigeria","Malawi",2019,..
"Nigeria","Malawi",2020,..
"Nigeria","Malawi",2021,..
"Nigeria","Malaysia",2017,11052
"Nigeria","Malaysia",2018,..
"Nigeria","Malaysia",2019,4661
"Nigeria","Malaysia",2020,4329
"Nigeria","Malaysia",2021,4005
"Nigeria","Maldives",2017,..
"Nigeria","Maldives",2018,..
"Nigeria","Maldives",2019,..
"Nigeria","Maldives",2020,..
"Nigeria","Maldives",2021,..
"Nigeria","Mali",2017,..
"Nigeria","Mali",2018,..
"Nigeria","Mali",2019,..
"Nigeria","Mali",2020,..
"Nigeria","Mali",2021,..
"Nigeria","Malta",2017,18
"Nigeria","Malta",2018,29
"Nigeria","Malta",2019,68
"Nigeria","Malta",2020,72
"Nigeria","Malta",2021,111
"Nigeria","Marshall Islands",2017,..
"Nigeria","Marshall Islands",2018,..
"Nigeria","Marshall Islands",2019,..
"Nigeria","Marshall Islands",2020,..
"Nigeria","Marshall Islands",2021,..
"Nigeria","Martinique",2017,..
"Nigeria","Martinique",2018,..
"Nigeria","Martinique",2019,..
"Nigeria","Martinique",2020,..
"Nigeria","Martinique",2021,..
"Nigeria","Mauritania",2017,..
"Nigeria","Mauritania",2018,..
"Nigeria","Mauritania",2019,..
"Nigeria","Mauritania",2020,..
"Nigeria","Mauritania",2021,..
"Nigeria","Mauritius",2017,156
"Nigeria","Mauritius",2018,..
"Nigeria","Mauritius",2019,..
"Nigeria","Mauritius",2020,239
"Nigeria","Mauritius",2021,253
"Nigeria","Mayotte",2017,..
"Nigeria","Mayotte",2018,..
"Nigeria","Mayotte",2019,..
"Nigeria","Mayotte",2020,..
"Nigeria","Mayotte",2021,..
"Nigeria","Mexico",2017,..
"Nigeria","Mexico",2018,..
"Nigeria","Mexico",2019,..
"Nigeria","Mexico",2020,..
"Nigeria","Mexico",2021,..
"Nigeria","Micronesia (Federated States of)",2017,..
"Nigeria","Micronesia (Federated States of)",2018,..
"Nigeria","Micronesia (Federated States of)",2019,..
"Nigeria","Micronesia (Federated States of)",2020,..
"Nigeria","Micronesia (Federated States of)",2021,..
"Nigeria","Monaco",2017,..
"Nigeria","Monaco",2018,..
"Nigeria","Monaco",2019,..
"Nigeria","Monaco",2020,2
"Nigeria","Monaco",2021,3
"Nigeria","Mongolia",2017,6
"Nigeria","Mongolia",2018,4
"Nigeria","Mongolia",2019,1
"Nigeria","Mongolia",2020,..
"Nigeria","Mongolia",2021,..
"Nigeria","Montenegro",2017,..
"Nigeria","Montenegro",2018,..
"Nigeria","Montenegro",2019,..
"Nigeria","Montenegro",2020,..
"Nigeria","Montenegro",2021,..
"Nigeria","Montserrat",2017,..
"Nigeria","Montserrat",2018,..
"Nigeria","Montserrat",2019,..
"Nigeria","Montserrat",2020,..
"Nigeria","Montserrat",2021,..
"Nigeria","Morocco",2017,403
"Nigeria","Morocco",2018,177
"Nigeria","Morocco",2019,395
"Nigeria","Morocco",2020,404
"Nigeria","Morocco",2021,514
"Nigeria","Mozambique",2017,6
"Nigeria","Mozambique",2018,7
"Nigeria","Mozambique",2019,..
"Nigeria","Mozambique",2020,..
"Nigeria","Mozambique",2021,..
"Nigeria","Myanmar",2017,..
"Nigeria","Myanmar",2018,..
"Nigeria","Myanmar",2019,..
"Nigeria","Myanmar",2020,..
"Nigeria","Myanmar",2021,..
"Nigeria","Namibia",2017,58
"Nigeria","Namibia",2018,49
"Nigeria","Namibia",2019,53
"Nigeria","Namibia",2020,48
"Nigeria","Namibia",2021,..
"Nigeria","Nauru",2017,..
"Nigeria","Nauru",2018,..
"Nigeria","Nauru",2019,..
"Nigeria","Nauru",2020,..
"Nigeria","Nauru",2021,..
"Nigeria","Nepal",2017,..
"Nigeria","Nepal",2018,..
"Nigeria","Nepal",2019,..
"Nigeria","Nepal",2020,..
"Nigeria","Nepal",2021,..
"Nigeria","Netherlands",2017,152
"Nigeria","Netherlands",2018,160
"Nigeria","Netherlands",2019,162
"Nigeria","Netherlands",2020,..
"Nigeria","Netherlands",2021,..
"Nigeria","New Caledonia",2017,..
"Nigeria","New Caledonia",2018,..
"Nigeria","New Caledonia",2019,..
"Nigeria","New Caledonia",2020,..
"Nigeria","New Caledonia",2021,..
"Nigeria","New Zealand",2017,146
"Nigeria","New Zealand",2018,144
"Nigeria","New Zealand",2019,145
"Nigeria","New Zealand",2020,124.5
"Nigeria","New Zealand",2021,109
"Nigeria","Nicaragua",2017,..
"Nigeria","Nicaragua",2018,..
"Nigeria","Nicaragua",2019,..
"Nigeria","Nicaragua",2020,..
"Nigeria","Nicaragua",2021,..
"Nigeria","Niger",2017,280
"Nigeria","Niger",2018,799
"Nigeria","Niger",2019,929
"Nigeria","Niger",2020,..
"Nigeria","Niger",2021,..
"Nigeria","Nigeria",2017,..
"Nigeria","Nigeria",2018,..
